Name,BioguideID,District,Party,State,Terms
"Duncan, Robert B.",D000537,3,Democratic,Oregon,"Start: 1963, End: 1967, Chamber: House of Representatives; Start: 1975, End: 1981, Chamber: House of Representatives"
"Duncan, John J., Jr.",D000533,2,Republican,Tennessee,"Start: 1987, End: 2019, Chamber: House of Representatives"
"Duncan, John J.",D000534,2,Republican,Tennessee,"Start: 1965, End: 1989, Chamber: House of Representatives"
"Dulski, Thaddeus J.",D000523,37,Democratic,New York,"Start: 1959, End: 1975, Chamber: House of Representatives"
"du Pont, Pierre S., IV",D000558,N/A,Republican,Delaware,"Start: 1971, End: 1977, Chamber: House of Representatives"
"Drinan, Robert F.",D000499,4,Democratic,Massachusetts,"Start: 1971, End: 1981, Chamber: House of Representatives"
"Dreier, David",D000492,26,Republican,California,"Start: 1981, End: 2013, Chamber: House of Representatives"
"Downing, Thomas N.",D000474,1,Democratic,Virginia,"Start: 1959, End: 1977, Chamber: House of Representatives"
"Downey, Thomas J.",D000471,2,Democratic,New York,"Start: 1975, End: 1993, Chamber: House of Representatives"
"Dowdy, Wayne",D000466,4,Democratic,Mississippi,"Start: 1981, End: 1989, Chamber: House of Representatives"
"Douglas, Chuck",D000451,2,Republican,New Hampshire,"Start: 1989, End: 1991, Chamber: House of Representatives"
"Dougherty, Charles F.",D000446,4,Republican,Pennsylvania,"Start: 1979, End: 1983, Chamber: House of Representatives"
"Dornan, Robert K.",D000435,46,Republican,California,"Start: 1977, End: 1983, Chamber: House of Representatives; Start: 1985, End: 1997, Chamber: House of Representatives"
"Dorn, William Jennings Bryan",D000434,3,Democratic,South Carolina,"Start: 1947, End: 1949, Chamber: House of Representatives; Start: 1951, End: 1975, Chamber: House of Representatives"
"Dorgan, Byron L.",D000432,N/A,Democratic,North Dakota,"Start: 1981, End: 1993, Chamber: House of Representatives; Start: 1991, End: 2011, Chamber: Senate"
"Doolittle, John T.",D000429,4,Republican,California,"Start: 1991, End: 2009, Chamber: House of Representatives"
"Dooley, Calvin M.",D000424,20,Democratic,California,"Start: 1991, End: 2005, Chamber: House of Representatives"
"Donohue, Harold D.",D000419,3,Democratic,Massachusetts,"Start: 1947, End: 1975, Chamber: House of Representatives"
"Dodd, Christopher J.",D000388,N/A,Democratic,Connecticut,"Start: 1975, End: 1981, Chamber: House of Representatives; Start: 1981, End: 2011, Chamber: Senate"
"Dixon, Julian C.",D000373,32,Democratic,California,"Start: 1979, End: 2003, Chamber: House of Representatives"
"DioGuardi, Joseph J.",D000359,20,Republican,New York,"Start: 1985, End: 1989, Chamber: House of Representatives"
"Dingell, John D.",D000355,12,Democratic,Michigan,"Start: 1955, End: 2015, Chamber: House of Representatives"
"Diggs, Charles C., Jr.",D000344,13,Democratic,Michigan,"Start: 1955, End: 1981, Chamber: House of Representatives"
"Dicks, Norman D.",D000327,6,Democratic,Washington,"Start: 1977, End: 2013, Chamber: House of Representatives"
"Dickinson, William L.",D000326,2,Republican,Alabama,"Start: 1965, End: 1993, Chamber: House of Representatives"
"Dickey, Jay",D000312,4,Republican,Arkansas,"Start: 1993, End: 2001, Chamber: House of Representatives"
"Diaz-Balart, Lincoln",D000299,21,Republican,Florida,"Start: 1993, End: 2011, Chamber: House of Representatives"
"Devine, Samuel L.",D000279,12,Republican,Ohio,"Start: 1959, End: 1981, Chamber: House of Representatives"
"Deutsch, Peter",D000275,20,Democratic,Florida,"Start: 1993, End: 2005, Chamber: House of Representatives"
"Derwinski, Edward J.",D000269,4,Republican,Illinois,"Start: 1959, End: 1983, Chamber: House of Representatives"
"Derrick, Butler C.",D000267,3,Democratic,South Carolina,"Start: 1975, End: 1995, Chamber: House of Representatives"
"Dent, John H.",D000255,21,Democratic,Pennsylvania,"Start: 1957, End: 1979, Chamber: House of Representatives"
"Dennis, David W.",D000241,10,Republican,Indiana,"Start: 1969, End: 1975, Chamber: House of Representatives"
"Denholm, Frank E.",D000234,1,Democratic,South Dakota,"Start: 1971, End: 1975, Chamber: House of Representatives"
"DeNardis, Lawrence J.",D000231,3,Republican,Connecticut,"Start: 1981, End: 1983, Chamber: House of Representatives"
"Dellums, Ronald V.",D000222,9,Democratic,California,"Start: 1971, End: 1999, Chamber: House of Representatives"
"Dellenback, John",D000220,4,Republican,Oregon,"Start: 1967, End: 1975, Chamber: House of Representatives"
"Delaney, James J.",D000211,9,Democratic,New York,"Start: 1945, End: 1979, Chamber: House of Representatives"
"Deckard, Joel",D000183,8,Republican,Indiana,"Start: 1979, End: 1983, Chamber: House of Representatives"
"Deal, Nathan",D000168,9,Republican,Georgia,"Start: 1993, End: 2010, Chamber: House of Representatives"
"de la Garza, E.",D000203,15,Democratic,Texas,"Start: 1965, End: 1997, Chamber: House of Representatives"
"de Lugo, Ron",D000209,N/A,Democratic,Virgin Islands,"Start: 1973, End: 1979, Chamber: House of Representatives; Start: 1981, End: 1995, Chamber: House of Representatives"
"Davis, Tom",D000136,11,Republican,Virginia,"Start: 1995, End: 2008, Chamber: House of Representatives"
"Davis, Robert W.",D000131,11,Republican,Michigan,"Start: 1979, End: 1993, Chamber: House of Representatives"
"Davis, Mendel J.",D000125,1,Democratic,South Carolina,"Start: 1971, End: 1981, Chamber: House of Representatives"
"Davis, John W.",D000122,7,Democratic,Georgia,"Start: 1961, End: 1975, Chamber: House of Representatives"
"Davis, Jack",D000106,4,Republican,Illinois,"Start: 1987, End: 1989, Chamber: House of Representatives"
"Davis, Glenn R.",D000102,9,Republican,Wisconsin,"Start: 1947, End: 1957, Chamber: House of Representatives; Start: 1965, End: 1975, Chamber: House of Representatives"
"Daub, Hal",D000065,2,Republican,Nebraska,"Start: 1981, End: 1989, Chamber: House of Representatives"
"Darden, George (Buddy)",D000051,7,Democratic,Georgia,"Start: 1983, End: 1995, Chamber: House of Representatives"
"Danner, Pat",D000046,6,Democratic,Missouri,"Start: 1993, End: 2001, Chamber: House of Representatives"
"Dannemeyer, William E.",D000044,39,Republican,California,"Start: 1979, End: 1993, Chamber: House of Representatives"
"Danielson, George E.",D000043,30,Democratic,California,"Start: 1971, End: 1983, Chamber: House of Representatives"
"Daniels, Dominick V.",D000041,14,Democratic,New Jersey,"Start: 1959, End: 1977, Chamber: House of Representatives"
"Daniel, W. C. (Dan)",D000038,5,Democratic,Virginia,"Start: 1969, End: 1989, Chamber: House of Representatives"
"Daniel, Robert W., Jr.",D000037,4,Republican,Virginia,"Start: 1973, End: 1983, Chamber: House of Representatives"
"D'Amours, Norman E.",D000017,1,Democratic,New Hampshire,"Start: 1975, End: 1985, Chamber: House of Representatives"
"Cunningham, Randy (Duke)",C000994,50,Republican,California,"Start: 1991, End: 2007, Chamber: House of Representatives"
"Cunningham, John E. (Jack)",C000992,7,Republican,Washington,"Start: 1977, End: 1979, Chamber: House of Representatives"
"Cummings, Elijah E.",C000984,7,Democratic,Maryland,"Start: 1995, End: 2019, Chamber: House of Representatives"
"Culver, John C.",C000979,N/A,Democratic,Iowa,"Start: 1965, End: 1975, Chamber: House of Representatives; Start: 1975, End: 1981, Chamber: Senate"
"Cubin, Barbara",C000962,N/A,Republican,Wyoming,"Start: 1995, End: 2009, Chamber: House of Representatives"
"Cronin, Paul W.",C000925,5,Republican,Massachusetts,"Start: 1973, End: 1975, Chamber: House of Representatives"
"Crockett, George W., Jr.",C000919,13,Democratic,Michigan,"Start: 1979, End: 1991, Chamber: House of Representatives"
"Cremeans, Frank A.",C000903,6,Republican,Ohio,"Start: 1995, End: 1997, Chamber: House of Representatives"
"Crane, Philip M.",C000873,8,Republican,Illinois,"Start: 1969, End: 2005, Chamber: House of Representatives"
"Crane, Daniel B.",C000871,19,Republican,Illinois,"Start: 1979, End: 1985, Chamber: House of Representatives"
"Long, Gillis W.",L000417,8,Democratic,Louisiana,"Start: 1963, End: 1965, Chamber: House of Representatives; Start: 1973, End: 1987, Chamber: House of Representatives"
"Long, Clarence D.",L000413,2,Democratic,Maryland,"Start: 1963, End: 1985, Chamber: House of Representatives"
"Long, Cathy (Mrs. Gillis)",L000411,8,Democratic,Louisiana,"Start: 1985, End: 1987, Chamber: House of Representatives"
"Loeffler, Tom",L000396,21,Republican,Texas,"Start: 1979, End: 1987, Chamber: House of Representatives"
"LoBiondo, Frank A.",L000554,2,Republican,New Jersey,"Start: 1995, End: 2019, Chamber: House of Representatives"
"Lloyd, Marilyn",L000381,3,Democratic,Tennessee,"Start: 1975, End: 1995, Chamber: House of Representatives"
"Lloyd, James F.",L000379,35,Democratic,California,"Start: 1975, End: 1981, Chamber: House of Representatives"
"Livingston, Bob",L000371,1,Republican,Louisiana,"Start: 1977, End: 2001, Chamber: House of Representatives"
"Litton, Jerry",L000360,6,Democratic,Missouri,"Start: 1973, End: 1977, Chamber: House of Representatives"
"Lipinski, William O.",L000342,3,Democratic,Illinois,"Start: 1983, End: 2005, Chamber: House of Representatives"
"Linder, John",L000321,7,Republican,Georgia,"Start: 1993, End: 2011, Chamber: House of Representatives"
"Lightfoot, Jim",L000305,3,Republican,Iowa,"Start: 1985, End: 1997, Chamber: House of Representatives"
"Lewis, Thomas F.",L000295,16,Republican,Florida,"Start: 1983, End: 1995, Chamber: House of Representatives"
"Lewis, Ron",L000293,2,Republican,Kentucky,"Start: 1993, End: 2009, Chamber: House of Representatives"
"Lewis, John",L000287,5,Democratic,Georgia,"Start: 1987, End: 2020, Chamber: House of Representatives"
"Lewis, Jerry",L000274,41,Republican,California,"Start: 1979, End: 2013, Chamber: House of Representatives"
"Levy, David A.",L000267,4,Republican,New York,"Start: 1993, End: 1995, Chamber: House of Representatives"
"Levine, Mel",L000264,27,Democratic,California,"Start: 1983, End: 1993, Chamber: House of Representatives"
"Levin, Sander M.",L000263,9,Democratic,Michigan,"Start: 1983, End: 2019, Chamber: House of Representatives"
"Lent, Norman F.",L000243,4,Republican,New York,"Start: 1971, End: 1993, Chamber: House of Representatives"
"Leland, Mickey",L000237,18,Democratic,Texas,"Start: 1979, End: 1991, Chamber: House of Representatives"
"Lehman, William",L000226,17,Democratic,Florida,"Start: 1973, End: 1993, Chamber: House of Representatives"
"Lehman, Richard H.",L000225,19,Democratic,California,"Start: 1983, End: 1995, Chamber: House of Representatives"
"Leggett, Robert L.",L000221,4,Democratic,California,"Start: 1963, End: 1979, Chamber: House of Representatives"
"LeFante, Joseph A.",L000561,14,Democratic,New Jersey,"Start: 1977, End: 1979, Chamber: House of Representatives"
"Lee, Gary A.",L000192,33,Republican,New York,"Start: 1979, End: 1983, Chamber: House of Representatives"
"Lederer, Raymond F.",L000187,3,Democratic,Pennsylvania,"Start: 1977, End: 1983, Chamber: House of Representatives"
"LeBoutillier, John",L000547,6,Republican,New York,"Start: 1981, End: 1983, Chamber: House of Representatives"
"Leath, Marvin",L000180,11,Democratic,Texas,"Start: 1979, End: 1991, Chamber: House of Representatives"
"Leach, Claude (Buddy), Jr.",L000167,4,Democratic,Louisiana,"Start: 1979, End: 1981, Chamber: House of Representatives"
