Name,BioguideID,District,Party,State,Terms
"Schiff, Adam B.",S001150,N/A,Democratic,California,"Start: 2001, End: 2024, Chamber: House of Representatives; Start: 2024, End: N/A, Chamber: Senate"
"Spratt, John M., Jr.",S000749,5,Democratic,South Carolina,"Start: 1983, End: 2011, Chamber: House of Representatives"
"Armstrong, Kelly",A000377,N/A,Republican,North Dakota,"Start: 2019, End: 2024, Chamber: House of Representatives"
"Leach, James A.",L000169,2,Republican,Iowa,"Start: 1977, End: 2007, Chamber: House of Representatives"
"Buck, Ken",B001297,4,Republican,Colorado,"Start: 2015, End: 2024, Chamber: House of Representatives"
"Kim, Andy",K000394,N/A,Democratic,New Jersey,"Start: 2019, End: 2024, Chamber: House of Representatives; Start: 2024, End: N/A, Chamber: Senate"
"Butler, Laphonza R.",B001320,N/A,Democratic,California,"Start: 2023, End: 2024, Chamber: Senate"
"Ricketts, Pete",R000618,N/A,Republican,Nebraska,"Start: 2023, End: N/A, Chamber: Senate"
"Helmy, George S.",H001097,N/A,Democratic,New Jersey,"Start: 2024, End: 2024, Chamber: Senate"
"Stewart, Chris",S001192,2,Republican,Utah,"Start: 2013, End: 2023, Chamber: House of Representatives"
"Clarke, Yvette D.",C001067,9,Democratic,New York,"Start: 2007, End: N/A, Chamber: House of Representatives"
"Wied, Tony",W000829,8,Republican,Wisconsin,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Lee Carter, Erica",L000605,18,Democratic,Texas,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Patterson, Jerry M.",P000121,38,Democratic,California,"Start: 1975, End: 1985, Chamber: House of Representatives"
"Ireland, Andrew P.",I000029,10,Republican,Florida,"Start: 1977, End: 1993, Chamber: House of Representatives"
"Hobson, David L.",H000666,7,Republican,Ohio,"Start: 1991, End: 2009, Chamber: House of Representatives"
"Gaetz, Matt",G000578,1,Republican,Florida,"Start: 2017, End: 2024, Chamber: House of Representatives"
"Norcross, Donald",N000188,1,Democratic,New Jersey,"Start: 2014, End: N/A, Chamber: House of Representatives"
"Young, Todd",Y000064,N/A,Republican,Indiana,"Start: 2011, End: 2017, Chamber: House of Representatives; Start: 2017, End: N/A, Chamber: Senate"
"Whitehouse, Sheldon",W000802,N/A,Democratic,Rhode Island,"Start: 2007, End: N/A, Chamber: Senate"
"Welch, Peter",W000800,N/A,Democratic,Vermont,"Start: 2007, End: 2023, Chamber: House of Representatives; Start: 2023, End: N/A, Chamber: Senate"
"Wyden, Ron",W000779,N/A,Democratic,Oregon,"Start: 1981, End: 1996, Chamber: House of Representatives; Start: 1996, End: N/A, Chamber: Senate"
"Wicker, Roger F.",W000437,N/A,Republican,Mississippi,"Start: 1995, End: 2007, Chamber: House of Representatives; Start: 2007, End: N/A, Chamber: Senate"
"Vance, J. D.",V000137,N/A,Republican,Ohio,"Start: 2023, End: N/A, Chamber: Senate"
"Warnock, Raphael G.",W000790,N/A,Democratic,Georgia,"Start: 2021, End: N/A, Chamber: Senate"
"Tuberville, Tommy",T000278,N/A,Republican,Alabama,"Start: 2021, End: N/A, Chamber: Senate"
"Warren, Elizabeth",W000817,N/A,Democratic,Massachusetts,"Start: 2013, End: N/A, Chamber: Senate"
"Warner, Mark R.",W000805,N/A,Democratic,Virginia,"Start: 2009, End: N/A, Chamber: Senate"
"Van Hollen, Chris",V000128,N/A,Democratic,Maryland,"Start: 2003, End: 2017, Chamber: House of Representatives; Start: 2017, End: N/A, Chamber: Senate"
"Tillis, Thomas",T000476,N/A,Republican,North Carolina,"Start: 2015, End: N/A, Chamber: Senate"
"Tester, Jon",T000464,N/A,Democratic,Montana,"Start: 2007, End: N/A, Chamber: Senate"
"Thune, John",T000250,N/A,Republican,South Dakota,"Start: 1997, End: 2003, Chamber: House of Representatives; Start: 2005, End: N/A, Chamber: Senate"
"Sullivan, Dan",S001198,N/A,Republican,Alaska,"Start: 2015, End: N/A, Chamber: Senate"
"Stabenow, Debbie",S000770,N/A,Democratic,Michigan,"Start: 1997, End: 2001, Chamber: House of Representatives; Start: 2001, End: N/A, Chamber: Senate"
"Schmitt, Eric",S001227,N/A,Republican,Missouri,"Start: 2023, End: N/A, Chamber: Senate"
"Scott, Rick",S001217,N/A,Republican,Florida,"Start: 2019, End: N/A, Chamber: Senate"
"Smith, Tina",S001203,N/A,Democratic,Minnesota,"Start: 2018, End: N/A, Chamber: Senate"
"Sinema, Kyrsten",S001191,N/A,Independent,Arizona,"Start: 2013, End: 2019, Chamber: House of Representatives; Start: 2019, End: N/A, Chamber: Senate"
"Scott, Tim",S001184,N/A,Republican,South Carolina,"Start: 2011, End: 2013, Chamber: House of Representatives; Start: 2013, End: N/A, Chamber: Senate"
"Shaheen, Jeanne",S001181,N/A,Democratic,New Hampshire,"Start: 2009, End: N/A, Chamber: Senate"
"Schumer, Charles E.",S000148,N/A,Democratic,New York,"Start: 1981, End: 1999, Chamber: House of Representatives; Start: 1999, End: N/A, Chamber: Senate"
"Schatz, Brian",S001194,N/A,Democratic,Hawaii,"Start: 2012, End: N/A, Chamber: Senate"
"Rubio, Marco",R000595,N/A,Republican,Florida,"Start: 2011, End: N/A, Chamber: Senate"
"Sanders, Bernard",S000033,N/A,Independent,Vermont,"Start: 1991, End: 2007, Chamber: House of Representatives; Start: 2007, End: N/A, Chamber: Senate"
"Romney, Mitt",R000615,N/A,Republican,Utah,"Start: 2019, End: N/A, Chamber: Senate"
"Rosen, Jacky",R000608,N/A,Democratic,Nevada,"Start: 2017, End: 2019, Chamber: House of Representatives; Start: 2019, End: N/A, Chamber: Senate"
"Rounds, Mike",R000605,N/A,Republican,South Dakota,"Start: 2015, End: N/A, Chamber: Senate"
"Risch, James E.",R000584,N/A,Republican,Idaho,"Start: 2009, End: N/A, Chamber: Senate"
"Padilla, Alex",P000145,N/A,Democratic,California,"Start: 2021, End: N/A, Chamber: Senate"
"Paul, Rand",P000603,N/A,Republican,Kentucky,"Start: 2011, End: N/A, Chamber: Senate"
"Peters, Gary C.",P000595,N/A,Democratic,Michigan,"Start: 2009, End: 2015, Chamber: House of Representatives; Start: 2015, End: N/A, Chamber: Senate"
"Reed, Jack",R000122,N/A,Democratic,Rhode Island,"Start: 1991, End: 1997, Chamber: House of Representatives; Start: 1997, End: N/A, Chamber: Senate"
"Ossoff, Jon",O000174,N/A,Democratic,Georgia,"Start: 2021, End: N/A, Chamber: Senate"
"Murphy, Christopher",M001169,N/A,Democratic,Connecticut,"Start: 2007, End: 2013, Chamber: House of Representatives; Start: 2013, End: N/A, Chamber: Senate"
"Murray, Patty",M001111,N/A,Democratic,Washington,"Start: 1993, End: N/A, Chamber: Senate"
"Mullin, Markwayne",M001190,N/A,Republican,Oklahoma,"Start: 2013, End: 2023, Chamber: House of Representatives; Start: 2023, End: N/A, Chamber: Senate"
"Moran, Jerry",M000934,N/A,Republican,Kansas,"Start: 1997, End: 2011, Chamber: House of Representatives; Start: 2011, End: N/A, Chamber: Senate"
"Murkowski, Lisa",M001153,N/A,Republican,Alaska,"Start: 2003, End: N/A, Chamber: Senate"
"Marshall, Roger",M001198,N/A,Republican,Kansas,"Start: 2017, End: 2021, Chamber: House of Representatives; Start: 2021, End: N/A, Chamber: Senate"
"Manchin, Joe, III",M001183,N/A,Independent,West Virginia,"Start: 2010, End: N/A, Chamber: Senate"
"Lummis, Cynthia M.",L000571,N/A,Republican,Wyoming,"Start: 2009, End: 2017, Chamber: House of Representatives; Start: 2021, End: N/A, Chamber: Senate"
"Merkley, Jeff",M001176,N/A,Democratic,Oregon,"Start: 2009, End: N/A, Chamber: Senate"
"Markey, Edward J.",M000133,N/A,Democratic,Massachusetts,"Start: 1977, End: 2013, Chamber: House of Representatives; Start: 2013, End: N/A, Chamber: Senate"
"McConnell, Mitch",M000355,N/A,Republican,Kentucky,"Start: 1985, End: N/A, Chamber: Senate"
"Klobuchar, Amy",K000367,N/A,Democratic,Minnesota,"Start: 2007, End: N/A, Chamber: Senate"
"Lee, Mike",L000577,N/A,Republican,Utah,"Start: 2011, End: N/A, Chamber: Senate"
"Lankford, James",L000575,N/A,Republican,Oklahoma,"Start: 2011, End: 2015, Chamber: House of Representatives; Start: 2015, End: N/A, Chamber: Senate"
"Lujan, Ben Ray",L000570,N/A,Democratic,New Mexico,"Start: 2009, End: 2021, Chamber: House of Representatives; Start: 2021, End: N/A, Chamber: Senate"
"Kelly, Mark",K000377,N/A,Democratic,Arizona,"Start: 2020, End: N/A, Chamber: Senate"
"Kennedy, John",K000393,N/A,Republican,Louisiana,"Start: 2017, End: N/A, Chamber: Senate"
"King, Angus S., Jr.",K000383,N/A,Independent,Maine,"Start: 2013, End: N/A, Chamber: Senate"
"Hickenlooper, John W.",H000273,N/A,Democratic,Colorado,"Start: 2021, End: N/A, Chamber: Senate"
"Hyde-Smith, Cindy",H001079,N/A,Republican,Mississippi,"Start: 2018, End: N/A, Chamber: Senate"
"Kaine, Tim",K000384,N/A,Democratic,Virginia,"Start: 2013, End: N/A, Chamber: Senate"
"Johnson, Ron",J000293,N/A,Republican,Wisconsin,"Start: 2011, End: N/A, Chamber: Senate"
"Hoeven, John",H001061,N/A,Republican,North Dakota,"Start: 2011, End: N/A, Chamber: Senate"
"Hirono, Mazie K.",H001042,N/A,Democratic,Hawaii,"Start: 2007, End: 2013, Chamber: House of Representatives; Start: 2013, End: N/A, Chamber: Senate"
"Hawley, Josh",H001089,N/A,Republican,Missouri,"Start: 2019, End: N/A, Chamber: Senate"
"Heinrich, Martin",H001046,N/A,Democratic,New Mexico,"Start: 2009, End: 2013, Chamber: House of Representatives; Start: 2013, End: N/A, Chamber: Senate"
"Hagerty, Bill",H000601,N/A,Republican,Tennessee,"Start: 2021, End: N/A, Chamber: Senate"
"Hassan, Margaret Wood",H001076,N/A,Democratic,New Hampshire,"Start: 2017, End: N/A, Chamber: Senate"
"Grassley, Chuck",G000386,N/A,Republican,Iowa,"Start: 1975, End: 1981, Chamber: House of Representatives; Start: 1981, End: N/A, Chamber: Senate"
"Fetterman, John",F000479,N/A,Democratic,Pennsylvania,"Start: 2023, End: N/A, Chamber: Senate"
"Ernst, Joni",E000295,N/A,Republican,Iowa,"Start: 2015, End: N/A, Chamber: Senate"
"Fischer, Deb",F000463,N/A,Republican,Nebraska,"Start: 2013, End: N/A, Chamber: Senate"
"Duckworth, Tammy",D000622,N/A,Democratic,Illinois,"Start: 2013, End: 2017, Chamber: House of Representatives; Start: 2017, End: N/A, Chamber: Senate"
"Gillibrand, Kirsten E.",G000555,N/A,Democratic,New York,"Start: 2007, End: 2009, Chamber: House of Representatives; Start: 2009, End: N/A, Chamber: Senate"
"Graham, Lindsey",G000359,N/A,Republican,South Carolina,"Start: 1995, End: 2003, Chamber: House of Representatives; Start: 2003, End: N/A, Chamber: Senate"
"Durbin, Richard J.",D000563,N/A,Democratic,Illinois,"Start: 1983, End: 1997, Chamber: House of Representatives; Start: 1997, End: N/A, Chamber: Senate"
"Cruz, Ted",C001098,N/A,Republican,Texas,"Start: 2013, End: N/A, Chamber: Senate"
"Daines, Steve",D000618,N/A,Republican,Montana,"Start: 2013, End: 2015, Chamber: House of Representatives; Start: 2015, End: N/A, Chamber: Senate"
"Cramer, Kevin",C001096,N/A,Republican,North Dakota,"Start: 2013, End: 2019, Chamber: House of Representatives; Start: 2019, End: N/A, Chamber: Senate"
"Cotton, Tom",C001095,N/A,Republican,Arkansas,"Start: 2013, End: 2015, Chamber: House of Representatives; Start: 2015, End: N/A, Chamber: Senate"
"Crapo, Mike",C000880,N/A,Republican,Idaho,"Start: 1993, End: 1999, Chamber: House of Representatives; Start: 1999, End: N/A, Chamber: Senate"
"Cortez Masto, Catherine",C001113,N/A,Democratic,Nevada,"Start: 2017, End: N/A, Chamber: Senate"
"Casey, Robert P., Jr.",C001070,N/A,Democratic,Pennsylvania,"Start: 2007, End: N/A, Chamber: Senate"
"Coons, Christopher A.",C001088,N/A,Democratic,Delaware,"Start: 2010, End: N/A, Chamber: Senate"
"Cassidy, Bill",C001075,N/A,Republican,Louisiana,"Start: 2009, End: 2015, Chamber: House of Representatives; Start: 2015, End: N/A, Chamber: Senate"
"Collins, Susan M.",C001035,N/A,Republican,Maine,"Start: 1997, End: N/A, Chamber: Senate"
"Cornyn, John",C001056,N/A,Republican,Texas,"Start: 2002, End: N/A, Chamber: Senate"
"Capito, Shelley Moore",C001047,N/A,Republican,West Virginia,"Start: 2001, End: 2015, Chamber: House of Representatives; Start: 2015, End: N/A, Chamber: Senate"
"Carper, Thomas R.",C000174,N/A,Democratic,Delaware,"Start: 1983, End: 1993, Chamber: House of Representatives; Start: 2001, End: N/A, Chamber: Senate"
"Cardin, Benjamin L.",C000141,N/A,Democratic,Maryland,"Start: 1987, End: 2007, Chamber: House of Representatives; Start: 2007, End: N/A, Chamber: Senate"
"Budd, Ted",B001305,N/A,Republican,North Carolina,"Start: 2017, End: 2023, Chamber: House of Representatives; Start: 2023, End: N/A, Chamber: Senate"
"Cantwell, Maria",C000127,N/A,Democratic,Washington,"Start: 1993, End: 1995, Chamber: House of Representatives; Start: 2001, End: N/A, Chamber: Senate"
"Britt, Katie Boyd",B001319,N/A,Republican,Alabama,"Start: 2023, End: N/A, Chamber: Senate"
"Braun, Mike",B001310,N/A,Republican,Indiana,"Start: 2019, End: N/A, Chamber: Senate"
"Booker, Cory A.",B001288,N/A,Democratic,New Jersey,"Start: 2013, End: N/A, Chamber: Senate"
"Blumenthal, Richard",B001277,N/A,Democratic,Connecticut,"Start: 2011, End: N/A, Chamber: Senate"
"Boozman, John",B001236,N/A,Republican,Arkansas,"Start: 2001, End: 2011, Chamber: House of Representatives; Start: 2011, End: N/A, Chamber: Senate"
"Brown, Sherrod",B000944,N/A,Democratic,Ohio,"Start: 1993, End: 2007, Chamber: House of Representatives; Start: 2007, End: N/A, Chamber: Senate"
"Barrasso, John",B001261,N/A,Republican,Wyoming,"Start: 2007, End: N/A, Chamber: Senate"
"Bennet, Michael F.",B001267,N/A,Democratic,Colorado,"Start: 2009, End: N/A, Chamber: Senate"
"Baldwin, Tammy",B001230,N/A,Democratic,Wisconsin,"Start: 1999, End: 2013, Chamber: House of Representatives; Start: 2013, End: N/A, Chamber: Senate"
"Blackburn, Marsha",B001243,N/A,Republican,Tennessee,"Start: 2003, End: 2019, Chamber: House of Representatives; Start: 2019, End: N/A, Chamber: Senate"
"Lofgren, Zoe",L000397,18,Democratic,California,"Start: 1995, End: N/A, Chamber: House of Representatives"
"Lopez, Greg",L000604,4,Republican,Colorado,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Mullin, Kevin",M001225,15,Democratic,California,"Start: 2023, End: N/A, Chamber: House of Representatives"
"McIver, LaMonica",M001229,10,Democratic,New Jersey,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Johnson, Tim",J000177,N/A,Democratic,South Dakota,"Start: 1987, End: 1997, Chamber: House of Representatives; Start: 1997, End: 2015, Chamber: Senate"
"Curson, David Alan",C001089,11,Democratic,Michigan,"Start: 2012, End: 2013, Chamber: House of Representatives"
"Evans, Daniel J.",E000236,N/A,Republican,Washington,"Start: 1983, End: 1989, Chamber: Senate"
"Sasser, Jim",S000068,N/A,Democratic,Tennessee,"Start: 1977, End: 1995, Chamber: Senate"
"Ruiz, Raul",R000599,25,Democratic,California,"Start: 2013, End: N/A, Chamber: House of Representatives"
"De La Cruz, Monica",D000594,15,Republican,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Menendez, Robert",M000639,N/A,Democratic,New Jersey,"Start: 1993, End: 2006, Chamber: House of Representatives; Start: 2006, End: 2024, Chamber: Senate"
"Carr, Bob",C000178,8,Democratic,Michigan,"Start: 1975, End: 1981, Chamber: House of Representatives; Start: 1983, End: 1995, Chamber: House of Representatives"
"Nowak, Henry",N000163,33,Democratic,New York,"Start: 1975, End: 1993, Chamber: House of Representatives"
"Pascrell, Bill",P000096,9,Democratic,New Jersey,"Start: 1997, End: 2024, Chamber: House of Representatives"
"Jackson Lee, Sheila",J000032,18,Democratic,Texas,"Start: 1995, End: 2024, Chamber: House of Representatives"
"Payne, Donald M.",P000604,10,Democratic,New Jersey,"Start: 2012, End: 2024, Chamber: House of Representatives"
"Gallagher, Mike",G000579,8,Republican,Wisconsin,"Start: 2017, End: 2024, Chamber: House of Representatives"
"Symms, Steven D.",S001138,N/A,Republican,Idaho,"Start: 1973, End: 1981, Chamber: House of Representatives; Start: 1981, End: 1993, Chamber: Senate"
"Kiggans, Jennifer A.",K000399,2,Republican,Virginia,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Strickland, Marilyn",S001159,10,Democratic,Washington,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Carey, Mike",C001126,15,Republican,Ohio,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Rulli, Michael A.",R000619,6,Republican,Ohio,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Fong, Vince",F000480,20,Republican,California,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Kennedy, Timothy M.",K000402,26,Democratic,New York,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Amo, Gabe",A000380,1,Democratic,Rhode Island,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Robinson, Tommy F.",R000354,2,Republican,Arkansas,"Start: 1985, End: 1991, Chamber: House of Representatives"
"Clyburn, James E.",C000537,6,Democratic,South Carolina,"Start: 1993, End: N/A, Chamber: House of Representatives"
"Inhofe, James M.",I000024,N/A,Republican,Oklahoma,"Start: 1987, End: 1995, Chamber: House of Representatives; Start: 1994, End: 2023, Chamber: Senate"
"Frost, Maxwell",F000476,10,Democratic,Florida,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Johnson, Bill",J000292,6,Republican,Ohio,"Start: 2011, End: 2024, Chamber: House of Representatives"
"Nethercutt, George R., Jr.",N000051,5,Republican,Washington,"Start: 1995, End: 2005, Chamber: House of Representatives"
"Meng, Grace",M001188,6,Democratic,New York,"Start: 2013, End: N/A, Chamber: House of Representatives"
"Crane, Elijah",C001132,2,Republican,Arizona,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Cicilline, David N.",C001084,1,Democratic,Rhode Island,"Start: 2011, End: 2023, Chamber: House of Representatives"
"Van Orden, Derrick",V000135,3,Republican,Wisconsin,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Perez, Marie Gluesenkamp",G000600,3,Democratic,Washington,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Hageman, Harriet M.",H001096,N/A,Republican,Wyoming,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Balint, Becca",B001318,N/A,Democratic,Vermont,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Good, Bob",G000595,5,Republican,Virginia,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Fitzgerald, Scott",F000471,5,Republican,Wisconsin,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Tiffany, Thomas P.",T000165,7,Republican,Wisconsin,"Start: 2020, End: N/A, Chamber: House of Representatives"
"Miller, Carol D.",M001205,1,Republican,West Virginia,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Steil, Bryan",S001213,1,Republican,Wisconsin,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Schrier, Kim",S001216,8,Democratic,Washington,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Wexton, Jennifer",W000825,10,Democratic,Virginia,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Spanberger, Abigail Davis",S001209,7,Democratic,Virginia,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Cline, Ben",C001118,6,Republican,Virginia,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Jayapal, Pramila",J000298,7,Democratic,Washington,"Start: 2017, End: N/A, Chamber: House of Representatives"
"Mooney, Alexander X.",M001195,2,Republican,West Virginia,"Start: 2015, End: N/A, Chamber: House of Representatives"
"Grothman, Glenn",G000576,6,Republican,Wisconsin,"Start: 2015, End: N/A, Chamber: House of Representatives"
"Newhouse, Dan",N000189,4,Republican,Washington,"Start: 2015, End: N/A, Chamber: House of Representatives"
"Plaskett, Stacey E.",P000610,N/A,Democratic,Virgin Islands,"Start: 2015, End: N/A, Chamber: House of Representatives"
"Beyer, Donald S.",B001292,8,Democratic,Virginia,"Start: 2015, End: N/A, Chamber: House of Representatives"
"Pocan, Mark",P000607,2,Democratic,Wisconsin,"Start: 2013, End: N/A, Chamber: House of Representatives"
"Kilmer, Derek",K000381,6,Democratic,Washington,"Start: 2013, End: N/A, Chamber: House of Representatives"
"DelBene, Suzan K.",D000617,1,Democratic,Washington,"Start: 2012, End: N/A, Chamber: House of Representatives"
"Griffith, H. Morgan",G000568,9,Republican,Virginia,"Start: 2011, End: N/A, Chamber: House of Representatives"
"Connolly, Gerald E.",C001078,11,Democratic,Virginia,"Start: 2009, End: N/A, Chamber: House of Representatives"
"Smith, Adam",S000510,9,Democratic,Washington,"Start: 1997, End: N/A, Chamber: House of Representatives"
"Moore, Gwen",M001160,4,Democratic,Wisconsin,"Start: 2005, End: N/A, Chamber: House of Representatives"
"McMorris Rodgers, Cathy",M001159,5,Republican,Washington,"Start: 2005, End: N/A, Chamber: House of Representatives"
"Larsen, Rick",L000560,2,Democratic,Washington,"Start: 2001, End: N/A, Chamber: House of Representatives"
"Maloy, Celeste",M001228,2,Republican,Utah,"Start: 2023, End: N/A, Chamber: House of Representatives"
"McClellan, Jennifer L.",M001227,4,Democratic,Virginia,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Self, Keith",S001224,3,Republican,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Ogles, Andrew",O000175,5,Republican,Tennessee,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Moran, Nathaniel",M001224,1,Republican,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Luttrell, Morgan",L000603,8,Republican,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Hunt, Wesley",H001095,38,Republican,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Fry, Russell",F000478,7,Republican,South Carolina,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Crockett, Jasmine",C001130,30,Democratic,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Casar, Greg",C001131,35,Democratic,Texas,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Ellzey, Jake",E000071,6,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Van Duyne, Beth",V000134,24,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Pfluger, August",P000048,11,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Owens, Burgess",O000086,4,Republican,Utah,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Nehls, Troy E.",N000026,22,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Moore, Blake D.",M001213,1,Republican,Utah,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Mace, Nancy",M000194,1,Republican,South Carolina,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Jackson, Ronny",J000304,13,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Harshbarger, Diana",H001086,1,Republican,Tennessee,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Gonzales, Tony",G000594,23,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Fallon, Pat",F000246,4,Republican,Texas,"Start: 2021, End: N/A, Chamber: House of Representatives"
"Allred, Colin Z.",A000376,32,Democratic,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Garcia, Sylvia R.",G000587,29,Democratic,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Roy, Chip",R000614,21,Republican,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Escobar, Veronica",E000299,16,Democratic,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Fletcher, Lizzie",F000468,7,Democratic,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Gooden, Lance",G000589,5,Republican,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Crenshaw, Dan",C001120,2,Republican,Texas,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Green, Mark E.",G000590,7,Republican,Tennessee,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Rose, John W.",R000612,6,Republican,Tennessee,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Burchett, Tim",B001309,2,Republican,Tennessee,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Johnson, Dusty",J000301,N/A,Republican,South Dakota,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Timmons, William R.",T000480,4,Republican,South Carolina,"Start: 2019, End: N/A, Chamber: House of Representatives"
"Cloud, Michael",C001115,27,Republican,Texas,"Start: 2018, End: N/A, Chamber: House of Representatives"
"Curtis, John R.",C001114,3,Republican,Utah,"Start: 2017, End: N/A, Chamber: House of Representatives"
"Norman, Ralph",N000190,5,Republican,South Carolina,"Start: 2017, End: N/A, Chamber: House of Representatives"
"Arrington, Jodey C.",A000375,19,Republican,Texas,"Start: 2017, End: N/A, Chamber: House of Representatives"
"Gonzalez, Vicente",G000581,34,Democratic,Texas,"Start: 2017, End: N/A, Chamber: House of Representatives"
"Kustoff, David",K000392,8,Republican,Tennessee,"Start: 2017, End: N/A, Chamber: House of Representatives"
"Babin, Brian",B001291,36,Republican,Texas,"Start: 2015, End: N/A, Chamber: House of Representatives"
"Veasey, Marc A.",V000131,33,Democratic,Texas,"Start: 2013, End: N/A, Chamber: House of Representatives"
"Williams, Roger",W000816,25,Republican,Texas,"Start: 2013, End: N/A, Chamber: House of Representatives"
"Castro, Joaquin",C001091,20,Democratic,Texas,"Start: 2013, End: N/A, Chamber: House of Representatives"
"Weber, Randy K. Sr.",W000814,14,Republican,Texas,"Start: 2013, End: N/A, Chamber: House of Representatives"
"Wittman, Robert J.",W000804,1,Republican,Virginia,"Start: 2007, End: N/A, Chamber: House of Representatives"
"DesJarlais, Scott",D000616,4,Republican,Tennessee,"Start: 2011, End: N/A, Chamber: House of Representatives"
"Fleischmann, Charles J. ""Chuck""",F000459,3,Republican,Tennessee,"Start: 2011, End: N/A, Chamber: House of Representatives"
"Duncan, Jeff",D000615,3,Republican,South Carolina,"Start: 2011, End: N/A, Chamber: House of Representatives"
"Cohen, Steve",C001068,9,Democratic,Tennessee,"Start: 2007, End: N/A, Chamber: House of Representatives"
"Sessions, Pete",S000250,17,Republican,Texas,"Start: 1997, End: 2019, Chamber: House of Representatives; Start: 2021, End: N/A, Chamber: House of Representatives"
"Granger, Kay",G000377,12,Republican,Texas,"Start: 1997, End: N/A, Chamber: House of Representatives"
"Scott, Robert C. ""Bobby""",S000185,3,Democratic,Virginia,"Start: 1993, End: N/A, Chamber: House of Representatives"
"Cuellar, Henry",C001063,28,Democratic,Texas,"Start: 2005, End: N/A, Chamber: House of Representatives"
"McCaul, Michael T.",M001157,10,Republican,Texas,"Start: 2005, End: N/A, Chamber: House of Representatives"
"Green, Al",G000553,9,Democratic,Texas,"Start: 2005, End: N/A, Chamber: House of Representatives"
"Carter, John R.",C001051,31,Republican,Texas,"Start: 2003, End: N/A, Chamber: House of Representatives"
"Burgess, Michael C.",B001248,26,Republican,Texas,"Start: 2003, End: N/A, Chamber: House of Representatives"
"Wilson, Joe",W000795,2,Republican,South Carolina,"Start: 2001, End: N/A, Chamber: House of Representatives"
"Doggett, Lloyd",D000399,37,Democratic,Texas,"Start: 1995, End: N/A, Chamber: House of Representatives"
"Williams, Brandon",W000828,22,Republican,New York,"Start: 2023, End: N/A, Chamber: House of Representatives"
"Sykes, Emilia Strong",S001223,13,Democratic,Ohio,"Start: 2023, End: N/A, Chamber: House of Representatives"
